	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	tɬ	t	ts	t̠ʃ	k		6/7	0.9726143344334487
periodicGlottalSource:+;category:fricative				z	ʒ	ɣ		3/7	0.63471336292325
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate		tɬʼ	tʼ	tsʼ	t̠ʃʼ	kʼ		5/7	0.7908466145620214
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate		tɬʰ	tʰ	tsʰ	t̠ʃʰ	kʰ	kʷʰ	6/7	0.7989841942818149
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s	ʃ	x	xʷ	5/7	0.7742561053816723
	1/5	4/5	3/5	5/5	5/5	5/5	2/5
	0.6296112730068943	0.9392519713940475	0.9392729333010922	1.0	1.0	1.0	0.31397160552751807
