	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡb	ɟ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ		-			-	1/4	0.4064462327094796
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	kp	c	k	kʷ	6/6	1.0
	3/3	2/3	2/2	2/3	2/3	2/2
	1.0	0.9734318947077167	1.0	0.9483002079027533	0.9942958712195662	1.0
