variable,trait,model_no,statistic,value
V,plosive,1,median,0.16508056
V,plosive,1,hdi_95_lower,0.12889463004208995
V,plosive,1,hdi_95_upper,0.20359121079844616
mu,plosive,1,median,0.68799946
mu,plosive,1,hdi_95_lower,0.5946955999796804
mu,plosive,1,hdi_95_upper,0.7870571699917601
t_half,plosive,1,median,13.24551
t_half,plosive,1,hdi_95_lower,8.720131781372428
t_half,plosive,1,hdi_95_upper,18.761751993091536
tau,plosive,1,median,0.17345268
tau,plosive,1,hdi_95_lower,0.15332895032703867
tau,plosive,1,hdi_95_upper,0.19293602034914467
looic,plosive,1,Estimate,2033.291907324717
looic,plosive,1,SE,69.77940205843979
V,plosive,2,median,0.16338496
V,plosive,2,hdi_95_lower,0.13009014988218515
V,plosive,2,hdi_95_upper,0.20607809988326933
mu,plosive,2,median,0.69486637
mu,plosive,2,hdi_95_lower,0.602597648699038
mu,plosive,2,hdi_95_upper,0.7990246393980499
t_half,plosive,2,median,13.847412
t_half,plosive,2,hdi_95_lower,9.18947751823632
t_half,plosive,2,hdi_95_upper,20.016390161875243
tau,plosive,2,median,0.178351425
tau,plosive,2,hdi_95_lower,0.1584279601075234
tau,plosive,2,hdi_95_upper,0.19796624025508688
looic,plosive,2,Estimate,2057.5201319039247
looic,plosive,2,SE,69.5508192379256
V,plosive,3,median,0.16601805
V,plosive,3,hdi_95_lower,0.12967098997088383
V,plosive,3,hdi_95_upper,0.2057203999775324
mu,plosive,3,median,0.6920493249999999
mu,plosive,3,hdi_95_lower,0.5999443177148799
mu,plosive,3,hdi_95_upper,0.7870522278357708
t_half,plosive,3,median,13.283574
t_half,plosive,3,hdi_95_lower,8.700611272492967
t_half,plosive,3,hdi_95_upper,18.714698883237492
tau,plosive,3,median,0.17323703499999998
tau,plosive,3,hdi_95_lower,0.15342655074571532
tau,plosive,3,hdi_95_upper,0.19163935075592797
looic,plosive,3,Estimate,2040.823546886013
looic,plosive,3,SE,70.49688972173395
V,plosive,4,median,0.16614268999999998
V,plosive,4,hdi_95_lower,0.13181208984532142
V,plosive,4,hdi_95_upper,0.20910171997890745
mu,plosive,4,median,0.68719193
mu,plosive,4,hdi_95_lower,0.5969153104403118
mu,plosive,4,hdi_95_upper,0.7850830212516258
t_half,plosive,4,median,12.97963
t_half,plosive,4,hdi_95_lower,8.366265938148441
t_half,plosive,4,hdi_95_upper,18.275323965453172
tau,plosive,4,median,0.17146133000000002
tau,plosive,4,hdi_95_lower,0.1508584200115347
tau,plosive,4,hdi_95_upper,0.19121654012631356
looic,plosive,4,Estimate,2026.848537645516
looic,plosive,4,SE,70.88328408180001
V,plosive,5,median,0.16636555
V,plosive,5,hdi_95_lower,0.12943368021447071
V,plosive,5,hdi_95_upper,0.20772396102717489
mu,plosive,5,median,0.69073703
mu,plosive,5,hdi_95_lower,0.6015355689296353
mu,plosive,5,hdi_95_upper,0.7915833495277629
t_half,plosive,5,median,13.1118025
t_half,plosive,5,hdi_95_lower,8.46387843221401
t_half,plosive,5,hdi_95_upper,18.467854950435758
tau,plosive,5,median,0.171850695
tau,plosive,5,hdi_95_lower,0.15118879007662422
tau,plosive,5,hdi_95_upper,0.1899941612585595
looic,plosive,5,Estimate,2041.1679490771976
looic,plosive,5,SE,70.6294150401424
V,plosive,6,median,0.17586813
V,plosive,6,hdi_95_lower,0.13779237863508162
V,plosive,6,hdi_95_upper,0.22875722940562912
mu,plosive,6,median,0.703705135
mu,plosive,6,hdi_95_lower,0.6012958848647363
mu,plosive,6,hdi_95_upper,0.820020306522362
t_half,plosive,6,median,15.100235999999999
t_half,plosive,6,hdi_95_lower,9.243039749563074
t_half,plosive,6,hdi_95_upper,22.45147199500444
tau,plosive,6,median,0.176109025
tau,plosive,6,hdi_95_lower,0.1545381000020461
tau,plosive,6,hdi_95_upper,0.19562872002556886
looic,plosive,6,Estimate,2054.53450573789
looic,plosive,6,SE,70.6733106617871
V,plosive,7,median,0.677448105
V,plosive,7,hdi_95_lower,0.5457586096999322
V,plosive,7,hdi_95_upper,0.8456133298712856
mu,plosive,7,median,2.1195244
mu,plosive,7,hdi_95_lower,1.9527983997207388
mu,plosive,7,hdi_95_upper,2.2912576997460516
t_half,plosive,7,median,10.223076500000001
t_half,plosive,7,hdi_95_lower,6.747456986877846
t_half,plosive,7,hdi_95_upper,14.860707173394488
tau,plosive,7,median,0.3754804
tau,plosive,7,hdi_95_lower,0.33241512930318157
tau,plosive,7,hdi_95_upper,0.4180126194999904
looic,plosive,7,Estimate,2348.825722851436
looic,plosive,7,SE,76.75784507837143
V,plosive,8,median,0.680287505
V,plosive,8,hdi_95_lower,0.5437487684642317
V,plosive,8,hdi_95_upper,0.8528420295688165
mu,plosive,8,median,2.13004745
mu,plosive,8,hdi_95_lower,1.9528193013810327
mu,plosive,8,hdi_95_upper,2.3191741041665845
t_half,plosive,8,median,11.041471999999999
t_half,plosive,8,hdi_95_lower,7.188340304028215
t_half,plosive,8,hdi_95_upper,16.092305016873027
tau,plosive,8,median,0.38767243500000004
tau,plosive,8,hdi_95_lower,0.34587327916944616
tau,plosive,8,hdi_95_upper,0.42997942976027514
looic,plosive,8,Estimate,2363.3778275865393
looic,plosive,8,SE,75.76321136438247
V,plosive,9,median,0.673223495
V,plosive,9,hdi_95_lower,0.5314892965569031
V,plosive,9,hdi_95_upper,0.830461409641517
mu,plosive,9,median,2.1188538
mu,plosive,9,hdi_95_lower,1.9475871774793503
mu,plosive,9,hdi_95_upper,2.2897255778062195
t_half,plosive,9,median,10.282752
t_half,plosive,9,hdi_95_lower,6.70812990868811
t_half,plosive,9,hdi_95_upper,14.935653961894284
tau,plosive,9,median,0.378507445
tau,plosive,9,hdi_95_lower,0.33257198904693414
tau,plosive,9,hdi_95_upper,0.41907436908957785
looic,plosive,9,Estimate,2349.365157274135
looic,plosive,9,SE,75.32219883766602
V,plosive,10,median,0.675931895
V,plosive,10,hdi_95_lower,0.5425377903019206
V,plosive,10,hdi_95_upper,0.8367525604450275
mu,plosive,10,median,2.1171443500000002
mu,plosive,10,hdi_95_lower,1.9451689014641012
mu,plosive,10,hdi_95_upper,2.283201503165124
t_half,plosive,10,median,9.893703250000002
t_half,plosive,10,hdi_95_lower,6.4336321611602925
t_half,plosive,10,hdi_95_upper,14.211786990095733
tau,plosive,10,median,0.37012443500000003
tau,plosive,10,hdi_95_lower,0.32833776240843177
tau,plosive,10,hdi_95_upper,0.411970002764684
looic,plosive,10,Estimate,2330.869479346199
looic,plosive,10,SE,75.67309152007348
V,plosive,11,median,0.67787102
V,plosive,11,hdi_95_lower,0.5442430911496534
V,plosive,11,hdi_95_upper,0.8492014628004377
mu,plosive,11,median,2.1192405
mu,plosive,11,hdi_95_lower,1.9546658002534156
mu,plosive,11,hdi_95_upper,2.2981751017071366
t_half,plosive,11,median,10.2039105
t_half,plosive,11,hdi_95_lower,6.696181848805615
t_half,plosive,11,hdi_95_upper,14.988465951187035
tau,plosive,11,median,0.37544274
tau,plosive,11,hdi_95_lower,0.33254749001326556
tau,plosive,11,hdi_95_upper,0.4198450000378452
looic,plosive,11,Estimate,2343.0611292373064
looic,plosive,11,SE,75.64649128053561
V,plosive,12,median,0.7081925
V,plosive,12,hdi_95_lower,0.5547662100300893
V,plosive,12,hdi_95_upper,0.900085630938641
mu,plosive,12,median,2.1352987
mu,plosive,12,hdi_95_lower,1.9563647048412633
mu,plosive,12,hdi_95_upper,2.3361888101887125
t_half,plosive,12,median,11.5387415
t_half,plosive,12,hdi_95_lower,7.193005330357878
t_half,plosive,12,hdi_95_upper,17.56745106197194
tau,plosive,12,median,0.38305874500000003
tau,plosive,12,hdi_95_lower,0.3376250300019499
tau,plosive,12,hdi_95_upper,0.42521349000692127
looic,plosive,12,Estimate,2360.9277242574726
looic,plosive,12,SE,77.2302648725035
V,fricative,1,median,4.07353415
V,fricative,1,hdi_95_lower,3.0185431219793384
V,fricative,1,hdi_95_upper,5.24952724468752
mu,fricative,1,median,-0.19820421
mu,fricative,1,hdi_95_lower,-0.9497959682066973
mu,fricative,1,hdi_95_upper,0.5539694045448184
t_half,fricative,1,median,31.519526
t_half,fricative,1,hdi_95_lower,22.1763469483692
t_half,fricative,1,hdi_95_upper,44.449042949008714
tau,fricative,1,median,1.0733527
tau,fricative,1,hdi_95_lower,1.0001136002733748
tau,fricative,1,hdi_95_upper,1.1490507003760397
looic,fricative,1,Estimate,3780.300303082744
looic,fricative,1,SE,166.42677631149886
V,fricative,2,median,4.0373529
V,fricative,2,hdi_95_lower,3.060906192478344
V,fricative,2,hdi_95_upper,5.205284199363411
mu,fricative,2,median,0.23385546499999998
mu,fricative,2,hdi_95_lower,-0.3886177439741575
mu,fricative,2,hdi_95_upper,0.9088743156788499
t_half,fricative,2,median,33.1756315
t_half,fricative,2,hdi_95_lower,22.983770446487704
t_half,fricative,2,hdi_95_upper,44.86270897377018
tau,fricative,2,median,1.0880634
tau,fricative,2,hdi_95_lower,1.019297798988245
tau,fricative,2,hdi_95_upper,1.1601377997015823
looic,fricative,2,Estimate,3778.604666028837
looic,fricative,2,SE,165.33927028810885
V,fricative,3,median,4.21971
V,fricative,3,hdi_95_lower,3.165466995441225
V,fricative,3,hdi_95_upper,5.478265798654749
