	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	dz	d̠ʒ	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative	v		z	ʒ		3/5	0.6895420600180252
periodicGlottalSource:-;category:affricate|plosive	p	t̪	ts	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ		3/5	0.7331806241737292
	4/4	2/4	4/4	4/4	2/4
	1.0	0.8337086869543983	1.0	1.0	0.8231799477121992
