	labial:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:-,+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t̪|t	k	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	n̪d̪|nd	ŋɡ	3/3	1.0
periodicGlottalSource:+;category:fricative	β			1/3	0.20261153512165828
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s̪|s	x	2/3	0.8751192522205538
	3/4	3/4	3/4
	0.8503809638470621	0.8047664759238364	0.9458080765855901
