	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-,+	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:+	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive		b		d	dz				d̠ʓʷ		ɡʷ			dʑ	6/14	0.6227252825009437
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative	-		ɬʼ			ʆʼ		-	ʆʷʼ						3/12	0.2683121980017041
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative			ɮ		z	ʓ	ʒ		ʓʷ	ɣ		ʁ	ʁʷ	ʑ	9/14	0.6686727450911631
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive		p		t	ts		t̠ʃ		t̠ʆʷ	k	kʷ	q	qʷ	tɕ	10/14	0.9909870035372881
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative		f	ɬ		s	ʆ	ʃ		ʆʷ	x	xʷ	χ	χʷ	ɕ	11/14	0.9454963021256091
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʷʼ	pʼ		tʼ	tsʼ	-	t̠ʃʼ	tʷʼ		kʼ	kʷʼ			tɕʼ	9/13	0.8692974195595657
	1/5	4/6	3/6	3/6	5/6	3/5	4/6	1/5	5/6	4/6	4/6	3/6	3/6	5/6
	0.12657423316668082	0.9211703351040779	0.6387032679104903	0.9394723887743063	0.9897009157554492	0.6008033965529959	0.8417099047441623	0.3804443327267553	0.8755302894711987	0.7363435289890141	0.9877316071767366	0.7738424758865038	0.7493037221243376	0.971467510453207
