	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		ɬʼ		ʆʼ		ʆʷʼ						3/11	0.29361227858939515
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-		ɮ	z	ʓ	ʒ	ʓʷ	ʑ	ɣ		ʁ	ʁʷ	9/11	0.8361285537838534
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	f	ɬ	s	ʆ	ʃ	ʆʷ	ɕ	x	xʷ	χ	χʷ	11/11	1.0
	1/3	3/3	2/3	3/3	2/3	3/3	2/3	2/3	1/3	2/3	2/3
	0.7461346156941219	1.0	0.983090597424601	1.0	0.98787545638369	1.0	0.9123626960196143	0.9951786367206401	0.9281399812219296	0.9960169331735004	0.9843874791818971
