name,glottocode
Azeri,nort2697
BarabaTatar,sibe1250
Bashkir,bash1264
Chuvash,chuv1255
CrimeanTatar,crim1257
Cuman,crim1257
Dolgan,dolg1241
Gagauz,gaga1249
KarachayBalkar,kara1465
Karaim,kara1464
Karakalpak,kara1467
Kazakh,kaza1248
KazanTatar,tata1255
Khakas,khak1248
Kirghiz,kirg1245
Kumyk,kumy1244
MiddleChulym,chul1246
Nogai,noga1249
NorthAltay,nort2686
OldTurkic,oldu1238
Salar,sala1264
SarygYugur,west2402
Shor,shor1247
SouthAltay,sout2694
Tofa,kara1462
Turkish,nucl1301
Turkmen,turk1304
Tuvan,tuvi1240
Uyghur,uigh1240
Uzbek,nort2690
Yakut,yaku1245
