	bz		d̠ʒ		2/5	0.10972826270181178
β	-				1/4	0.2808249428556433
p	ps	t	t̠ʃ	k	5/5	1.0
2/3	2/2	1/3	2/3	1/3
0.6778834511948614	1.0	0.6930537763180707	0.8322563826190728	0.6728749844427988
