	labiodental:0;strident:-;anterior:+;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	ð		1/2	0.7354145482785672
periodicGlottalSource:-	s	ʃ	2/2	1.0
	2/2	1/2
	1.0	0.784333365145307
