	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b					1/5	0.3621780688806308
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s			ʃ	2/5	0.6608598568478419
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	ts	tʲ	k	c	5/5	1.0
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ	tsʼ	tʲʼ	kʼ	cʼ	5/5	1.0
	3/4	3/4	2/4	2/4	3/4
	0.8406094683478551	0.9227623721641922	0.5172415773709454	0.6495959032131395	0.7978663886011989
