	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		z̪	ʒ	ɣ	ɣʷ	4/5	0.9754868253814301
periodicGlottalSource:-	ɬ̪	s̪	ʃ	x	xʷ	5/5	1.0
	1/2	2/2	2/2	2/2	2/2
	0.9025748456519439	1.0	1.0	1.0	1.0
