	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	ʐ	2/2	1.0
periodicGlottalSource:-		ʂ	1/2	0.7843841173705945
	1/2	2/2
	0.33745490270910106	1.0
