	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+		z̪͇|z͇	ʐ	ɣ	3/4	0.7097751141119362
periodicGlottalSource:-	ɸ		ʂ	ç	3/4	0.6295326106114293
	1/2	1/2	2/2	2/2
	0.6625210710769323	0.1986398010158172	1.0	1.0
