	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+			ʒ			1/5	0.13613899956597889
periodicGlottalSource:-	ɸ	s	ʃ	x	χ	5/5	1.0
	1/2	1/2	2/2	1/2	1/2
	0.6625450972908989	0.7931118804251478	1.0	0.7104002923559953	0.6958683155352414
