	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+			ɡ	ɢ	2/4	0.3389975293930715
periodicGlottalSource:-	p	t	k	q	4/4	1.0
	1/2	1/2	2/2	2/2
	0.646939388226512	0.6982137273139257	1.0	1.0
