	labial:+;coronal:-;dorsal:-;round:-	labial:+;coronal:-;dorsal:-;round:-,+	labial:-;coronal:+;dorsal:-;round:0	labial:-,+;coronal:+;dorsal:-;round:+	labial:+;coronal:-;dorsal:+;round:-	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ	d		ɡb	ɡ		5/7	0.9770915749914548
periodicGlottalSource:-	p	pʷ	t	tʷ	kp	k	kʷ	7/7	1.0
	2/2	2/2	2/2	1/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.7954170059991599	1.0	1.0	0.8209037735575385
