	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-			ɡ	ɡʷ	2/4	0.3539610784303524
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ		3/4	0.9769654063410553
	2/3	2/3	3/3	2/3
	0.6713743874923113	0.7168055846771938	1.0	0.9854692982443551
