	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b			1/3	0.46300647726248495
periodicGlottalSource:-	p	t̪|t	k	3/3	1.0
	2/2	1/2	1/2
	1.0	0.6775696423746886	0.7131090135848781
