	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-	p	t̪		k	3/4	0.9939323543020521
	2/2	2/2	1/2	2/2
	1.0	1.0	0.530589332093437	1.0
