		d̠ʒ	ɡ	2/4	0.3970705630581582
ɓ	ɗ	-		2/3	0.8038629283657579
v	z	ʒ		3/4	0.7554035777741186
p	t	t̠ʃ	k	4/4	1.0
f				1/4	0.18240424583791107
4/5	3/5	3/4	2/5
0.7509599328076818	0.5992214135735984	0.7224900297326584	0.813686642648233
