p	t	k	kʷ	q	qʷ	6/6	1.0
pʰ	tʰ	kʰ		qʰ		4/6	0.9610411859111256
pʼ	tʼ	kʼ		qʼ		4/6	0.9141664943417516
3/3	3/3	3/3	1/3	3/3	1/3
1.0	1.0	1.0	0.7026964811241274	1.0	0.4726439546590285
