	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	kʷ	q	qʷ	6/6	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	tʰ	kʰ		qʰ		4/6	0.9610411859111256
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ		qʼ		4/6	0.9141664943417516
	3/3	3/3	3/3	1/3	3/3	1/3
	1.0	1.0	1.0	0.7026964811241274	1.0	0.4726439546590285
