	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	v		ʒ	ɣ	ʁ	4/5	0.648192870055122
periodicGlottalSource:-		s	ʃ	x	χ	4/5	0.818283326206061
	1/2	1/2	2/2	2/2	2/2
	0.33745490270910106	0.7931118804251478	1.0	1.0	1.0
