	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:+		ɗ		1/3	0.4185821334697808
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	k	3/3	1.0
	1/2	2/2	1/2
	0.9519155093986349	1.0	0.9836454289273285
