	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:plosive	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:affricate | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;category:fricative	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	ɖ	ɟ		ɡ	5/6	0.9647371290098963
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s					1/6	0.5547782548936976
periodicGlottalSource:-;category:affricate|plosive	p	t̪	ʈ	c	cç	k	6/6	1.0
	2/3	3/3	2/3	2/3	1/3	2/3
	0.8421922259973105	1.0	0.9801431128847967	0.8505645533886413	0.5515718464743973	0.8686670143906876
