	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	t̠ʃ	pʲ	k	kʲ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ʃ				2/6	0.6138534120715227
spreadGlottis:+;category:affricate|plosive		tʰ	t̠ʃʰ				2/6	0.4622868016539672
	1/3	3/3	3/3	1/3	1/3	1/3
	0.7473185535655418	1.0	1.0	0.6695813527151941	0.7535738865609455	0.7741104385560903
