	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:- | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+	v	z̪	ʐ	ʑ	ɣ	5/5	1.0
periodicGlottalSource:-	f	s̪	ʂ	ɕ	χ	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
