	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:+;coronal:-;dorsal:-,+;front:+;round:-	labial:+;coronal:-;dorsal:+;front:-;round:-	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ	d		bʲ	ɡb	ɡ	ɡʷ	7/8	0.998379686374125
periodicGlottalSource:-			t	tʷ		kp	k	kʷ	5/8	0.7513063109645373
	1/2	1/2	2/2	1/2	1/2	2/2	2/2	2/2
	0.3520981260077749	0.5129734133942809	1.0	0.7954170059991599	0.380471005987578	1.0	1.0	1.0
