	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t		k	3/4	0.9603313270706587
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ	3/4	0.9412825043598065
	3/3	3/3	1/3	3/3
	1.0	1.0	0.4419507658793142	1.0
