	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive			d		ɡ	ɟ	3/6	0.6953143346590092
periodicGlottalSource:+;category:fricative	β	v		z		ʒ	4/6	0.7442740152621864
periodicGlottalSource:-;category:affricate|plosive	p	pf	t	ts	k	c	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f		s		ʃ	3/6	0.7332977339080711
	2/4	3/4	2/4	3/4	2/4	4/4
	0.6385650654475676	0.9981099018730888	0.9036894656578184	0.9302895585623174	0.8208175339725856	1.0
