	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d	dz			ɡb	ɡ	5/8	0.9124969311429184
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-		-	-	-	-		1/3	0.40662334864933586
periodicGlottalSource:+;category:fricative	β	v		z	ʒ		-		4/7	0.6338835294158063
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t	ts			kp	k	5/8	0.885578647858209
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f		s	ʃ	ʂ	-	x	5/7	0.8581019130249694
	4/5	2/4	2/5	4/4	2/4	1/4	2/2	3/5
	0.9619254442600768	0.9934903271408839	0.8807530155565857	1.0	0.35381635233116654	0.406773463199732	1.0	0.9382722189458117
