	labiodental:0;lateral:-,+;strident:-;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	d̪ɮ̪|dɮ	d̪z̪|dz	d̠ʒ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	t̪ɬ̪|tɬ	t̪s̪|ts	t̠ʃ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+ | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+	t̪ɬ̪ʼ|tɬʼ	t̪s̪ʼ|tsʼ	t̠ʃʼ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
