	labial:-;coronal:+;lateral:+;strident:-;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;back:-	labial:-,+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:-;back:+	labial:-,+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	ɬ̪|ɬ	s̪|s	x	xʷ	χ	χʷ	6/6	1.0
constrictedGlottis:+;raisedLarynxEjective:+	ɬ̪ʼ|ɬʼ	s̪ʼ|sʼ	xʼ	xʷʼ	χʼ	χʷʼ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
