	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t	k	2/3	0.7408548679903754
periodicGlottalSource:+;sonorant:-;nasal:-	b			1/3	0.3134554836419505
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	3/3	1.0
	2/3	2/3	2/3
	0.35742956402202924	0.7168055846771938	0.7318314894732322
