	t		k	2/4	0.6111695549662644
b				1/4	0.27917261828127976
f		s	x	3/4	0.901043083704671
mb	nd	n̠d̠ʒ	ŋɡ	4/4	1.0
3/4	2/4	2/4	3/4
0.4598427905060372	0.6689007845676818	0.4443445487467536	0.76846026552561
