	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ɣ	4/4	1.0
periodicGlottalSource:-	ɸ	s	ʃ		3/4	0.8028429998620269
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.2955652519701484
