	labial:+;coronal:-;lateral:-;strident:0;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:+;strident:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;lateral:-,+;strident:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;dorsal:-;high:0;back:0	labial:-;coronal:-;lateral:-;strident:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d	dɮ	dz	ɡ	ɢ	6/6	1.0
periodicGlottalSource:+;category:fricative			ɮ	z		ʁ	3/6	0.5219791368430968
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			ɬ	s		χ	3/6	0.6677154359892956
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate		tʰ	tɬʰ	tsʰ	kʰ	qʰ	5/6	0.7943583907062608
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate		tʼ	tɬʼ	tsʼ	kʼ	qʼ	5/6	0.8464475378262651
	1/5	3/5	5/5	5/5	3/5	5/5
	0.419687402956304	0.9390992988129769	1.0	1.0	0.7526364642133684	1.0
