	labiodental:0;coronal:+;lateral:+;strident:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ɮ	z	ʁ	3/3	1.0
periodicGlottalSource:-	ɬ	s	χ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
