	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b						1/6	0.28096588159797337
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ	ʂ	x	4/6	0.7165423008526518
periodicGlottalSource:-;category:affricate|plosive	p	t	ts			k	4/6	0.8853695448591217
	2/3	1/3	2/3	1/3	1/3	2/3
	0.8421922259973105	0.6560010527343105	0.9200950182478003	0.297035055011415	0.4407177900486543	0.7522848451355145
