	labiodental:0;lateral:-,+;anterior:+;dorsal:-;round:0	labiodental:0;lateral:-;anterior:-;dorsal:+;round:0	count	markedness_count
spreadGlottis:-	t̪ɬ̪	cç	2/2	1.0
spreadGlottis:+ | spreadGlottis:-,+	t̪ɬ̪ʰ	cçʰ	2/2	1.0
	2/2	2/2
	1.0	1.0
