	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	f	ɬ	s	ʃ	4/4	1.0
constrictedGlottis:+;raisedLarynxEjective:+	fʼ	ɬʼ	sʼ	ʃʼ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
