	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-	p	t	c	k	q	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-	b	d	ɟ	ɡ		4/5	0.9779527340423484
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ		4/5	0.9992120470766841
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ			-	2/4	0.8038629283657579
periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-					ɴq	1/5	0.09528743561236291
periodicGlottalSource:-;loweredLarynxImplosive:+;sonorant:-;nasal:-;DEVOICED:+	ɓ̥	ɗ̥	ʄ̥			3/5	0.8917051491579716
	5/6	5/6	4/6	3/6	2/5
	0.9877949964144065	0.9858270040060977	0.9307981732062496	0.9839749711199279	0.8704555835413043
