	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t		k	3/4	0.9938291531068701
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nd			1/4	0.3293711465738662
	2/3	3/3	1/3	2/3
	0.97184827087695	1.0	0.4808724002446704	0.9776461952673208
