	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		ɡ	ɡᶣ	4/5	0.9252981570892312
periodicGlottalSource:+;category:fricative		z				1/5	0.35339384030169285
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k		4/5	0.9987338089965891
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ			3/5	0.8018542897721171
	3/4	4/4	2/4	2/4	1/4
	0.9241790684885567	1.0	0.7674481688709247	0.82328415610326	0.09032849739295638
