	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-,+;coronal:-;dorsal:+;front:-,+;round:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ	ɡᶣ	4/4	1.0
periodicGlottalSource:-	p	t	k		3/4	0.9995989577260311
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.3549039062212913
