	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	d̠ʒ	ɖ	ɟ	ɡ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̪̤		ɖ̤	ɟ̤	ɡ̤	5/6	0.949914638649315
periodicGlottalSource:+;category:fricative		z	ʒ				2/6	0.47158269314839435
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	t̠ʃ	ʈ	c	k	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			ʃ				1/6	0.16577658283347477
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	t̠ʃʰ	ʈʰ	cʰ	kʰ	6/6	1.0
	4/6	5/6	5/6	4/6	4/6	4/6
	0.7762496950407757	0.6099640505531447	0.9975902248723807	0.9500227250121117	0.8356411094189802	0.8205981189569515
