	labial:+;coronal:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;retractedTongueRoot:-,+	labial:-;coronal:-;dorsal:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	b	d	dˤ	ɡ	4/4	1.0
periodicGlottalSource:-		t	tˤ	k	3/4	0.7402923483341115
	1/2	2/2	2/2	2/2
	0.3529869121354662	1.0	1.0	1.0
