	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	k	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		2/3	0.6609977126136402
	2/2	2/2	1/2
	1.0	1.0	0.709477684740553
