	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β		ɣ	2/3	0.9297203727445323
periodicGlottalSource:-	f	θ	ʃ	3/3	1.0
	2/2	1/2	2/2
	1.0	0.802062581201629	1.0
