	labial:+;coronal:-;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
fortis:+;category:plosive	p͈	t̺͈	ȶ͈	k͈	4/4	1.0
fortis:-; ͉:+;category:plosive | fortis:-; ͉:-;category:plosive	p͉	t̺͉	ȶ͉	k͉	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
