	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9495385262205662
	2/2	2/2	1/2	2/2
	1.0	1.0	0.8069784034444976	1.0
