pʰ	t̪ʰ	kʰ	3/3	1.0
mb	n̪d̪	ŋɡ	3/3	1.0
	s		1/3	0.664990196377012
2/3	3/3	2/3
0.7046795866624166	1.0	0.7191818510867205
