	labial:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;distributed:-,+;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-,+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;distributed:-;dorsal:-;anterior:-;lateral:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive	pʰ	t̪ʰ	kʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:plosive	mb	n̪d̪	ŋɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		1/3	0.664990196377012
	2/3	3/3	2/3
	0.7046795866624166	1.0	0.7191818510867205
