	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;high:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:0;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:0;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;high:0;back:0;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;high:0;back:0;round:0;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;high:0;back:0;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;high:0;back:0;round:0;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;high:+;back:-;round:0;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;high:+;back:-;round:0;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;high:+;back:-;round:0;anterior:-;low:-;front:+	labial:-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;high:+;back:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;high:+;back:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;distributed:+;dorsal:+;high:+;back:-;round:+;anterior:-;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;distributed:+;dorsal:+;high:+;back:-;round:+;anterior:-;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;distributed:+;dorsal:-;high:0;back:0;round:+;anterior:-;low:0;front:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;distributed:+;dorsal:-;high:0;back:0;round:+;anterior:-;low:0;front:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪|t	k	kʷ	q	qʷ	6/6	1.0
periodicGlottalSource:+;category:fricative	v	z̪|z	ɣ	ɣʷ	ʁ	ʁʷ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪|s	x	xʷ	χ	χʷ	6/6	1.0
	3/3	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0	1.0
