	labial:+;labiodental:+;coronal:-;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;labiodental:-;coronal:-;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;labiodental:0;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+	v	z̪|z	ɣ	ɣʷ	ʁ	ʁʷ	6/6	1.0
periodicGlottalSource:-	f	s̪|s	x	xʷ	χ	χʷ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
