	labial:+;coronal:-;dorsal:- | labial:+;coronal:-;dorsal:-,+;front:-;round:- | labial:+;coronal:-;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+ | labial:-;coronal:+;dorsal:+;anterior:-;distributed:+;strident:-;front:+	count	markedness_count
periodicGlottalSource:+;category:plosive			ɡ	1/3	0.33898809867932916
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	3/3	1.0
	1/2	1/2	2/2
	0.6469266840209866	0.6982137273139257	1.0
