b	d	ɡ	ɡʷ	4/4	1.0
p	t	k	kʷ	4/4	1.0
f	s			2/4	0.8482942022438186
3/3	3/3	2/3	2/3
1.0	1.0	0.8666930494111134	0.7688450501034575
