	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v	z	ʒ	4/4	1.0
periodicGlottalSource:-		f	s	ʃ	3/4	0.9517160324608245
	1/2	2/2	2/2	2/2
	0.5479002076962644	1.0	1.0	1.0
