	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-,+	labial:-;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	b	d	ɡbʷ	ɡ	4/4	1.0
periodicGlottalSource:-	p	t	kpʷ	k	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
