	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive			t	kp	c	k	4/6	0.6209072346641621
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	b	d̪	d	ɡb	ɟ	ɡ	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb		nd	ŋmɡb	ɲɟ		4/6	0.6263060714777555
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive			ɗ	-			1/5	0.3596142044675861
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f			-			1/5	0.1848148494532965
	3/5	1/5	4/5	3/3	3/5	2/5
	0.4326418853139234	0.14062776651913372	0.6982600278604266	1.0	0.8189844325195751	0.8417361326753416
