	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	t̠ʃʼ	ʈʂʼ	3/3	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	tsʰ	t̠ʃʰ	ʈʂʰ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
