	tʼ	kʼ	2/3	0.7715636466004623
ɓ		ʛ̥	2/3	0.5828754974511025
pʰ	tʰ	kʰ	3/3	1.0
2/3	2/3	3/3
0.6573284996910589	0.8664581488218045	1.0
