	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:+,-;sonorant:-;nasal:-;category:affricate|plosive	ˀb	ˀd	-	-	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s	x	3/4	0.901043083704671
periodicGlottalSource:+;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd		ŋɡ	3/4	0.8765905001943048
	5/5	4/5	3/4	4/4
	1.0	0.9178013861463241	0.9894976881329791	1.0
